ID,OPEID,Institution Name,City,State,Foreign Gift Received Date,Foreign Gift Amount,Gift Type,Country of Giftor,Giftor Name
1,102000,Jacksonville State University,Jacksonville,AL,43738,250000,Monetary Gift,CHINA,
2,104700,Troy University,Troy,AL,43592,463657,Contract,CHINA,Confucius Institute Headquarters
3,105100,University of Alabama,Tuscaloosa,AL,43466,3649107,Contract,ENGLAND,Springer Nature Customer Service Ce
4,105100,University of Alabama,Tuscaloosa,AL,43472,1000,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
5,105100,University of Alabama,Tuscaloosa,AL,43479,49476,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
6,105100,University of Alabama,Tuscaloosa,AL,43501,30231,Contract,KUWAIT,Kuwait-Embassy of the State
7,105100,University of Alabama,Tuscaloosa,AL,43507,30162,Contract,KUWAIT,Kuwait-Embassy of the State
8,105100,University of Alabama,Tuscaloosa,AL,43517,200,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I"
9,105100,University of Alabama,Tuscaloosa,AL,43529,5136,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
10,105100,University of Alabama,Tuscaloosa,AL,43531,57049,Contract,JAPAN,Kansai Gaidai University (KGU)
11,105100,University of Alabama,Tuscaloosa,AL,43542,57778,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
12,105100,University of Alabama,Tuscaloosa,AL,43543,5188,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
13,105100,University of Alabama,Tuscaloosa,AL,43543,200,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I"
14,105100,University of Alabama,Tuscaloosa,AL,43543,517303,Contract,KOREA,Korea Polar Research Institute - KO
15,105100,University of Alabama,Tuscaloosa,AL,43544,844219,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
16,105100,University of Alabama,Tuscaloosa,AL,43559,4454795,Contract,KUWAIT,Kuwait-Embassy of the State
17,105100,University of Alabama,Tuscaloosa,AL,43584,20156,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
18,105100,University of Alabama,Tuscaloosa,AL,43586,400000,Contract,ENGLAND,Springer Nature
19,105100,University of Alabama,Tuscaloosa,AL,43588,642,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
20,105100,University of Alabama,Tuscaloosa,AL,43591,2568,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
21,105100,University of Alabama,Tuscaloosa,AL,43592,312245,Contract,JAPAN,Kansai Gaidai University (KGU)
22,105100,University of Alabama,Tuscaloosa,AL,43593,15114,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
23,105100,University of Alabama,Tuscaloosa,AL,43613,92,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
24,105100,University of Alabama,Tuscaloosa,AL,43614,122911,Contract,KUWAIT,Kuwait-Embassy of the State
25,105100,University of Alabama,Tuscaloosa,AL,43614,5136,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
26,105100,University of Alabama,Tuscaloosa,AL,43615,100,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I"
27,105100,University of Alabama,Tuscaloosa,AL,43616,17465,Contract,SAUDI ARABIA,Saudi Arabia Education Mission
28,105100,University of Alabama,Tuscaloosa,AL,43627,368,Contract,JAPAN,Kansai Gaidai University (KGU)
29,105100,University of Alabama,Tuscaloosa,AL,43630,15892,Contract,TURKEY,"Turkish Consulate General,"
30,105100,University of Alabama,Tuscaloosa,AL,43630,147476,Contract,TURKEY,"Turkish Consulate General,"
31,105100,University of Alabama,Tuscaloosa,AL,43630,3852,Contract,SAUDI ARABIA,"Saudi Arabian Education Mission,"
32,105100,University of Alabama,Tuscaloosa,AL,43630,255,Contract,TURKEY,"Turkish Consulate General,"
33,105100,University of Alabama,Tuscaloosa,AL,43635,47762,Contract,KUWAIT,Kuwait-Embassy Of The State
34,105100,University of Alabama,Tuscaloosa,AL,43647,31522,Contract,KUWAIT,Kuwait-Embassy Of The State
35,105100,University of Alabama,Tuscaloosa,AL,43655,25,Contract,TURKEY,"Turkish Consulate General,"
36,105100,University of Alabama,Tuscaloosa,AL,43676,100,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I"
